Tick,Reward,TotalReward,Loss,Epsilon
230,-3,-5114,253.39102172851562,0.9049256461721487
240,-3,-5149,52.7620849609375,0.904473285139625
250,-3,-5188,162.50489807128906,0.9040211502367339
260,-1,-5215,196.98182678222656,0.9035692413504358
270,-1,-5229,330.46929931640625,0.903117558367748
280,-1,-5255,270.6935119628906,0.9026661011757439
290,-1,-5276,126.22905731201172,0.9022148696615535
300,-8,-5308,210.60110473632812,0.9017638637123636
310,-3,-5333,252.31884765625,0.901313083215417
320,-3,-5363,117.41295623779297,0.9008625280580128
330,-3,-5393,180.73031616210938,0.9004121981275065
340,-1,-5409,95.28907775878906,0.8999620933113102
350,-3,-5427,149.53466796875,0.8995122134968918
360,-3,-5447,158.1481170654297,0.8990625585717759
370,-1,-5469,102.56098937988281,0.898613128423543
380,-3,-5505,155.35391235351562,0.8981639229398302
390,-3,-5550,649.7822265625,0.8977149420083305
400,-3,-5580,118.04556274414062,0.8972661855167929
410,-3,-5608,69.01377868652344,0.8968176533530225
420,-3,-5634,71.29702758789062,0.8963693454048811
430,-1,-5677,143.50669860839844,0.8959212615602856
440,-1,-5736,54.54275131225586,0.8954734017072098
450,-13,-5796,245.3176727294922,0.895025765733683
460,-3,-5836,183.643798828125,0.8945783535277908
470,-3,-5871,144.45297241210938,0.8941311649776743
480,-1,-5897,361.1255187988281,0.8936841999715309
490,-3,-5915,154.8706817626953,0.8932374583976136
500,-1,-5929,46.921897888183594,0.8927909401442314
510,-3,-5942,179.3212890625,0.8923446450997495
520,-3,-5907,2861.395263671875,0.8918985731525881
530,-3,-5937,86.21276092529297,0.891452724191224
540,-3,-5967,248.21920776367188,0.8910070981041892
550,-3,-5993,78.33968353271484,0.8905616947800717
560,-1,-6017,132.90895080566406,0.890116514107515
570,-3,-6061,63.71026611328125,0.8896715559752186
580,-3,-6095,56.87275314331055,0.8892268202719371
590,-3,-6121,87.32049560546875,0.8887823068864812
600,-3,-6179,221.6201934814453,0.888338015707717
610,-3,-6164,118.4623031616211,0.887893946624566
620,-18,-6234,82.05713653564453,0.8874500995260056
630,-3,-6303,463.1628723144531,0.8870064743010683
640,-3,-6339,100.73139953613281,0.8865630708388422
650,-1,-6362,39.408546447753906,0.886119889028471
660,-1,-6384,88.29170227050781,0.8856769287591537
670,-6,-6414,81.24891662597656,0.8852341899201447
680,-3,-6454,59.822235107421875,0.8847916724007536
690,-8,-6494,94.68508911132812,0.8843493760903458
700,-8,-6539,211.4797821044922,0.8839073008783414
710,-3,-6571,90.50926208496094,0.883465446654216
720,-3,-6603,151.21560668945312,0.8830238133075009
730,-1,-6625,126.27279663085938,0.8825824007277819
740,-13,-6670,145.11264038085938,0.8821412088047007
750,-3,-6700,39.496315002441406,0.8817002374279534
760,-8,-6740,82.62024688720703,0.881259486487292
770,-3,-6776,3448.026611328125,0.8808189558725231
780,-3,-6810,201.9488525390625,0.8803786454735084
790,-3,-6826,427.45294189453125,0.8799385551801648
800,-3,-6868,60.53742218017578,0.8794986848824643
810,-3,-6908,176.89273071289062,0.8790590344704338
820,-3,-6958,110.28112030029297,0.8786196038341552
830,-3,-6998,161.86874389648438,0.8781803928637651
840,-1,-7037,692.0172119140625,0.8777414014494561
850,-1,-7053,389.7552795410156,0.8773026294814743
860,-1,-7075,229.13693237304688,0.8768640768501209
870,-3,-7101,186.58529663085938,0.8764257434457526
880,-16,-7139,336.8756103515625,0.8759876291587807
890,-3,-7174,57.77682113647461,0.875549733879671
900,-3,-7214,939.8487548828125,0.8751120574989443
910,-3,-7249,385.51580810546875,0.8746745999071758
920,-3,-7276,210.10125732421875,0.8742373609949956
930,-6,-7303,227.52735900878906,0.8738003406530888
940,-8,-7340,889.223876953125,0.8733635387721946
950,-3,-7362,6589.52587890625,0.8729269552431073
960,-3,-7401,229.62030029296875,0.8724905899566756
970,-3,-7436,3091.652587890625,0.8720544428038025
980,-13,-7501,1741.8450927734375,0.8716185136754458
990,-3,-7532,353.47705078125,0.8711828024626178
